,wd,ws,freq_val
326.0,70.0,7.0,0.0006898274888106722
327.0,70.0,8.0,0.0005051492634597836
328.0,70.0,9.0,0.0005811932386042671
329.0,70.0,10.0,0.0004942858384391431
330.0,70.0,11.0,0.0003747881632120975
331.0,70.0,12.0,0.000385651588232738
332.0,70.0,13.0,0.0003530613131708165
333.0,70.0,14.0,0.00019554165037152912
334.0,70.0,15.0,0.00019554165037152912
335.0,70.0,16.0,0.0001412245252683266
336.0,70.0,17.0,0.00013579281275800635
337.0,70.0,18.0,5.974883761352279e-05
338.0,70.0,19.0,8.14756876548038e-05
339.0,70.0,20.0,4.888541259288228e-05
340.0,70.0,21.0,7.604397514448356e-05
341.0,70.0,22.0,4.345370008256203e-05
342.0,70.0,23.0,5.974883761352279e-05
343.0,70.0,24.0,3.802198757224178e-05
344.0,70.0,25.0,1.629513753096076e-05
345.0,75.0,3.0,0.000597488376135228
346.0,75.0,4.0,0.000727849476382914
347.0,75.0,5.0,0.000771303176465476
348.0,75.0,6.0,0.0007224177638725938
349.0,75.0,7.0,0.0006463737887281102
350.0,75.0,8.0,0.0006029200886455482
351.0,75.0,9.0,0.0005540346760526659
352.0,75.0,10.0,0.00042367357580497977
353.0,75.0,11.0,0.0002824490505366532
354.0,75.0,12.0,0.00030960761308825447
355.0,75.0,13.0,0.000298744188067614
356.0,75.0,14.0,0.00023899535045409116
357.0,75.0,15.0,9.777082518576456e-05
358.0,75.0,16.0,0.00013036110024768608
359.0,75.0,17.0,5.974883761352279e-05
360.0,75.0,18.0,8.14756876548038e-05
361.0,75.0,19.0,2.715856255160127e-05
362.0,75.0,20.0,8.690740016512406e-05
363.0,75.0,21.0,5.431712510320254e-05
364.0,75.0,22.0,4.345370008256203e-05
365.0,75.0,23.0,5.431712510320254e-05
366.0,75.0,24.0,4.345370008256203e-05
367.0,75.0,25.0,5.431712510320254e-06
368.0,80.0,3.0,0.0005811932386042671
369.0,80.0,4.0,0.000597488376135228
370.0,80.0,5.0,0.000727849476382914
371.0,80.0,6.0,0.0006681006387693913
372.0,80.0,7.0,0.0006029200886455482
373.0,80.0,8.0,0.0005486029635423457
374.0,80.0,9.0,0.0005160126884804241
375.0,80.0,10.0,0.0003530613131708165
376.0,80.0,11.0,0.00038021987572241776
377.0,80.0,12.0,0.0002227002129231304
378.0,80.0,13.0,0.00023356363794377092
379.0,80.0,14.0,0.0001629513753096076
380.0,80.0,15.0,0.00015208795028896711
381.0,80.0,16.0,0.00014665623777864684
382.0,80.0,17.0,7.604397514448356e-05
383.0,80.0,18.0,0.00010863425020640508
384.0,80.0,19.0,0.00011949767522704558
385.0,80.0,20.0,8.690740016512406e-05
386.0,80.0,21.0,6.518055012384304e-05
387.0,80.0,22.0,4.888541259288228e-05
388.0,80.0,23.0,3.802198757224178e-05
